user_id;message
alice;"Hello everyone! How are you doing today?"
bob;"This is terrible! I hate everything about this."
charlie;"Good morning! â˜€ï¸ Have a wonderful day ahead!"
alice;"hÃ«llo everyone!!! How are you doing today? ğŸŒŸ"
diana;"The weather is absolutely beautiful today."
bob;"This is TERRIBLE! I HATE everything about this!!!"
eve;"Thanks for the help; really appreciate it ğŸ‘"
frank;"What a stupid idea; this will never work."
diana;"The weather is absolutely beautiful today..."
charlie;"good morning! have a wonderful day ahead"
alice;"Hello everyone! How are you doing today?   "
george;"I love this new feature; it's amazing!"
bob;"this is terrible i hate everything about this"
henry;"Can someone please help me with this issue?"
eve;"Thanks for the help; really appreciate it"